index_gen,index_ind,htg_sp,clg_sp,wwr,insulation_thickness,carbon_emissons,discomfort_hours
2,8,21.5,23,0.231165019050241,0.404488552324474,258297.1374,1240.33
2,9,19,24,0.255391657352448,0.427864323966205,231625.8183,2444
2,10,19,27,0.364542065002024,0.423978529740487,225155.1477,3719.67
2,11,21,25.5,0.401186253126141,0.423978529740487,243892.8181,2054.83
2,12,22,27,0.236792603945691,0.0964083442850287,237861.6934,2437.17
2,13,21,27,0.364542065002024,0.314950625747442,233734.6345,3313
2,14,22,23.5,0.626887338446755,0.0565394535486533,314593.1177,1488.5
2,15,22,25,0.647268283832818,0.423978529740487,280263.8426,1608.67
2,16,21,23,0.358892861893401,0.312533946914681,265152.9189,1943.5
2,17,22,26.5,0.402634845348075,0.34862825281918,245532.8608,2165.17
2,18,22,25.5,0.647268283832818,0.365521942339838,275100.116,1882.83
2,19,18,23.5,0.273127668071538,0.0974869205057621,238499.2543,2746.83
2,20,19.5,24,0.358892861893401,0.484411304742098,240725.615,2581.83
3,1,19,26.5,0.255391657352448,0.427864323966205,221427.2813,3110.33
3,2,18,26.5,0.251977441942484,0.421892523080469,219562.5767,3117.17
3,3,19,25.5,0.231165019050241,0.105302534811199,229555.623,2358.67
3,4,21.5,24,0.224895167187309,0.427864323966205,244709.0232,1214.67
3,5,21.5,26.5,0.273127668071538,0.431586883414758,231365.9908,2356.67
3,6,22,24,0.255391657352448,0.427864323966205,252223.2259,762.17
3,7,22,26.5,0.257203708967251,0.382031027339399,233234.2889,1866.33
3,8,20.5,24,0.273127668071538,0.314695544455397,241705.9169,2148.17
